operation,source,destination,change,explanation,status,verification
"Create xWalk-rpi5","MyPiCarX","MyPiCarX/xWalk-rpi5","Created the product grouping directory","Groups Raspberry Pi 5 product components without moving root integration tooling","Applied","Directory exists at the exact requested root"
"Move xWalkAgent","xWalkAgent","xWalk-rpi5/xWalkAgent","Moved the tracked directory with git mv","Groups the agent component while preserving Git rename history","Applied","Old path absent; destination present"
"Move xWalkAudioResources","xWalkAudioResources","xWalk-rpi5/xWalkAudioResources","Moved the tracked directory with git mv","Groups product audio resources while preserving Git rename history","Applied","Old path absent; destination present"
"Move xWalkController","xWalkController","xWalk-rpi5/xWalkController","Moved the tracked directory with git mv","Groups the controller component while preserving Git rename history","Applied","Old path absent; destination present"
"Move xWalkHal","xWalkHal","xWalk-rpi5/xWalkHal","Moved the tracked directory with git mv","Groups the HAL component while preserving Git rename history","Applied","Old path absent; destination present; approved empty nested .git directory preserved"
"Move xWalkIW","xWalkIW","xWalk-rpi5/xWalkIW","Moved the tracked directory with git mv","Groups the interface component while preserving Git rename history","Applied","Old path absent; destination present"
"Move xWalkLibrary","xWalkLibrary","xWalk-rpi5/xWalkLibrary","Moved the tracked directory with git mv","Groups shared product libraries while preserving Git rename history","Applied","Old path absent; destination present"
"Move DevloperNote","DevloperNote","xWalk-rpi5/DevloperNote","Moved the tracked directory with git mv","Groups product documentation and preserves the requested spelling and history","Applied","Old path absent; destination present"
"Move xWalkTrace","xWalkTrace","xWalk-rpi5/xWalkTrace","Moved the tracked directory with git mv","Groups tracing while preserving the existing target and Git rename history","Applied","Old path absent; destination present"
"Update root CMake","CMakeLists.txt","CMakeLists.txt","Added XWALK_RPI5_ROOT and redirected component subdirectories and file paths","Keeps the complete project buildable from the existing workspace root","Applied","Fresh Ninja configure and 615-target build passed"
"Update xWalkIW CMake","xWalk-rpi5/xWalkIW/CMakeLists.txt","xWalk-rpi5/xWalkIW/CMakeLists.txt","Adjusted the relative xWalkTool generator path","xWalkTool remains at the workspace root","Applied","Schema validation passed during build and CTest"
"Update controller CMake","xWalk-rpi5/xWalkController/CMakeLists.txt","xWalk-rpi5/xWalkController/CMakeLists.txt","Adjusted root-level deployment tool paths","Packaging inputs still resolve after the controller move","Applied","Fresh configure and build passed"
"Update centralized HAL test path","xWalk-rpi5/xWalkHal/xWalkTest/xGoogleTest/src/main.cpp","xWalk-rpi5/xWalkHal/xWalkTest/xGoogleTest/src/main.cpp","Adjusted generated test-data directory","Centralized tests now use the relocated HAL build tree","Applied","xGoogleTest and complete CTest passed"
"Update toolchain path","cmake/toolchains/aarch64-linux-gnu.cmake","cmake/toolchains/aarch64-linux-gnu.cmake","Redirected the bundled AArch64 dependency prefix","The library directory moved under xWalk-rpi5","Applied","CMake syntax was accepted during validation"
"Update host-quality workflow",".github/workflows/host-quality.yml",".github/workflows/host-quality.yml","Updated diagnostic and soak-report build paths","CI must use the actual generated xWalk-rpi5 build layout","Applied","YAML parsed successfully"
"Update xWalk-rpi5 integration workflow",".github/workflows/xwalk-rpi5-integration.yml",".github/workflows/xwalk-rpi5-integration.yml","Updated the host-safe diagnostic paths","The repository-root workflow must follow the relocated source and binary layout","Applied","YAML parsed successfully"
"Update guideline audit script",".agents/xwalk-guideline-reviewer/scripts/audit.sh",".agents/xwalk-guideline-reviewer/scripts/audit.sh","Redirected DevloperNote filesystem checks","Documentation moved under the product grouping directory","Applied","ShellCheck passed; audit executed"
"Update clean-build script","xWalkTool/shell/clean-build.sh","xWalkTool/shell/clean-build.sh","Updated the repository identity check path","Safe cleanup checks must recognize the reorganized root","Applied","ShellCheck passed"
"Update Eclipse build script","xWalkTool/shell/eclipse-build.sh","xWalkTool/shell/eclipse-build.sh","Updated the controller build directory","Eclipse output remains associated with the relocated controller","Applied","ShellCheck passed"
"Update host ShellCheck script","xWalkTool/shell/run-host-shellcheck.sh","xWalkTool/shell/run-host-shellcheck.sh","Updated library prune paths","Bundled library trees now reside below xWalk-rpi5","Applied","ShellCheck passed"
"Update environment loader","xWalkTool/shell/xWalkEnv.sh","xWalkTool/shell/xWalkEnv.sh","Updated the private licence key path","The licence key remains with xWalkLibrary after relocation","Applied","ShellCheck and environment-loader CTest passed"
"Update environment-loader test","xWalkTool/deployment/test/environment-loader-test.sh","xWalkTool/deployment/test/environment-loader-test.sh","Updated the fixture product-library layout","The fixture must match the environment loader's new path","Applied","ShellCheck and CTest passed"
"Update language-model configuration test","xWalkTool/deployment/test/language-model-config-test.sh","xWalkTool/deployment/test/language-model-config-test.sh","Updated controller and Vosk paths","Deployment validation must read relocated product files","Applied","ShellCheck and CTest passed"
"Update setup test","xWalkTool/deployment/test/setup-rpi-test.sh","xWalkTool/deployment/test/setup-rpi-test.sh","Updated controller and Vosk source paths","Host-safe provisioning fixtures must use relocated product files","Applied","ShellCheck and CTest passed"
"Update dependency-installer test","xWalkTool/deployment/test/dependency-installer-test.py","xWalkTool/deployment/test/dependency-installer-test.py","Updated the HAL inventory path","Module coverage validation must inspect the relocated HAL","Applied","Dependency-installer CTest passed"
"Update dependency installer","xWalkTool/python/xHal_Rpi5CarDependencyInstaller","xWalkTool/python/xHal_Rpi5CarDependencyInstaller","Updated project-managed Vosk paths","Runtime dependency checks must follow xWalkLibrary","Applied","Dependency-installer CTest passed"
"Update IW generator","xWalkTool/python/xHal_Rpi5CarIwGenerator","xWalkTool/python/xHal_Rpi5CarIwGenerator","Updated default xWalkIW and shared-header paths","Generation runs from root-level tooling against relocated product sources","Applied","Schema build and CTest passed"
